text,true_label,predicted_label,confidence,possible_reason
最新有什么热门电影,video,cinemas,0.9783,可能受到高频关键词影响，TF-IDF无法充分理解上下文和完整意图
有什么下酒菜吗,cookbook,chat,0.8969,可能受到高频关键词影响，TF-IDF无法充分理解上下文和完整意图
来一首水调歌头。,poetry,music,0.8826,可能受到高频关键词影响，TF-IDF无法充分理解上下文和完整意图
合肥影院,tvchannel,cinemas,0.8292,可能受到高频关键词影响，TF-IDF无法充分理解上下文和完整意图
你可以帮我点歌吗,music,chat,0.7377,可能受到高频关键词影响，TF-IDF无法充分理解上下文和完整意图
电影钢铁侠并论。,cinemas,video,0.7289,可能受到高频关键词影响，TF-IDF无法充分理解上下文和完整意图
魔神战记,website,video,0.6846,可能受到高频关键词影响，TF-IDF无法充分理解上下文和完整意图
最近流行电影。,video,cinemas,0.6845,可能受到高频关键词影响，TF-IDF无法充分理解上下文和完整意图
2012年的恐怖电影,epg,video,0.6828,可能受到高频关键词影响，TF-IDF无法充分理解上下文和完整意图
最近有哪些电影的资金字。,video,cinemas,0.6801,可能受到高频关键词影响，TF-IDF无法充分理解上下文和完整意图
台剧,video,tvchannel,0.6516,可能受到高频关键词影响，TF-IDF无法充分理解上下文和完整意图
最新电影,video,cinemas,0.6467,可能受到高频关键词影响，TF-IDF无法充分理解上下文和完整意图
泰国的节目,video,epg,0.6424,可能受到高频关键词影响，TF-IDF无法充分理解上下文和完整意图
告诉我怎么去,chat,map,0.6338,可能受到高频关键词影响，TF-IDF无法充分理解上下文和完整意图
最近下午有什么电影？,epg,cinemas,0.6248,可能受到高频关键词影响，TF-IDF无法充分理解上下文和完整意图
有什么好看的电影没有,video,epg,0.5906,文本包含否定表达，TF-IDF 无法充分理解否定关系
我要看综艺,video,tvchannel,0.5789,模型置信度较低，可能存在标签边界模糊或表达不典型
唇腭裂。,health,poetry,0.5731,模型置信度较低，可能存在标签边界模糊或表达不典型
腹泻。,health,poetry,0.5731,模型置信度较低，可能存在标签边界模糊或表达不典型
你不会念唐诗吗？,poetry,chat,0.5209,模型置信度较低，可能存在标签边界模糊或表达不典型
来首归家。,poetry,music,0.49,模型置信度较低，可能存在标签边界模糊或表达不典型
给我搜个电影,video,cinemas,0.4868,模型置信度较低，可能存在标签边界模糊或表达不典型
再来一首飞得更高。,music,poetry,0.4546,模型置信度较低，可能存在标签边界模糊或表达不典型
陈奕迅有什么歌啊,music,chat,0.4517,模型置信度较低，可能存在标签边界模糊或表达不典型
你QQ号吗诗多少,chat,app,0.4446,模型置信度较低，可能存在标签边界模糊或表达不典型
打开联系人,contacts,app,0.4268,模型置信度较低，可能存在标签边界模糊或表达不典型
图库,app,video,0.3944,模型置信度较低，可能存在标签边界模糊或表达不典型
什么地方开会,schedule,chat,0.3861,模型置信度较低，可能存在标签边界模糊或表达不典型
播放落日批示,video,music,0.3826,模型置信度较低，可能存在标签边界模糊或表达不典型
打开九幺五八聊天,website,telephone,0.3686,模型置信度较低，可能存在标签边界模糊或表达不典型
大家都说我瘦怎么办呀,chat,health,0.3673,模型置信度较低，可能存在标签边界模糊或表达不典型
帮我查下下周演新闻联播,epg,news,0.3635,模型置信度较低，可能存在标签边界模糊或表达不典型
你不来一首涛声依旧，那你。,music,poetry,0.3176,模型置信度较低，可能存在标签边界模糊或表达不典型
爸爸去哪几点结束呀,epg,chat,0.3114,模型置信度较低，可能存在标签边界模糊或表达不典型
国祥,stock,video,0.3106,模型置信度较低，可能存在标签边界模糊或表达不典型
一路向西,video,map,0.2938,模型置信度较低，可能存在标签边界模糊或表达不典型
播放卡洛斯沙尔阿,video,music,0.2882,模型置信度较低，可能存在标签边界模糊或表达不典型
2012年美国公告牌音乐大奖颁奖礼,video,lottery,0.2758,模型置信度较低，可能存在标签边界模糊或表达不典型
我好想听新城知讯台,radio,music,0.2568,模型置信度较低，可能存在标签边界模糊或表达不典型
消费者权益日是不是3月15号,datetime,chat,0.2339,文本包含否定表达，TF-IDF 无法充分理解否定关系
陕西金叶近日的涨幅情况,stock,video,0.2259,模型置信度较低，可能存在标签边界模糊或表达不典型
男性节育,health,video,0.2168,模型置信度较低，可能存在标签边界模糊或表达不典型
黔轮胎的走势如何,stock,map,0.2133,模型置信度较低，可能存在标签边界模糊或表达不典型
抬头见喜,video,chat,0.2102,模型置信度较低，可能存在标签边界模糊或表达不典型
吉林敖东,stock,tvchannel,0.1901,模型置信度较低，可能存在标签边界模糊或表达不典型
搜索腊梅。,poetry,app,0.1851,模型置信度较低，可能存在标签边界模糊或表达不典型
开www.china.com,website,tvchannel,0.1712,模型置信度较低，可能存在标签边界模糊或表达不典型
camera360,app,tvchannel,0.17,模型置信度较低，可能存在标签边界模糊或表达不典型
公交查询,app,stock,0.1638,模型置信度较低，可能存在标签边界模糊或表达不典型
天才碰麻瓜,video,cookbook,0.1231,模型置信度较低，可能存在标签边界模糊或表达不典型
