ticket_id,text,label,split
SMP_train_00001,打开熊猫看书,app,train
SMP_train_00002,opera浏览器,app,train
SMP_train_00003,钛备份,app,train
SMP_train_00004,打开sky电话,app,train
SMP_train_00005,帮我找菜单,app,train
SMP_train_00006,找愤怒的小鸟,app,train
SMP_train_00007,正韵打开相机,app,train
SMP_train_00008,我把相机打开,app,train
SMP_train_00009,上QQ我,app,train
SMP_train_00010,打开uc浏览器v八,app,train
SMP_train_00011,搜索QQ,app,train
SMP_train_00012,打开qq登陆到聊天模式,app,train
SMP_train_00013,打开个性闹钟,app,train
SMP_train_00014,国际象棋开局,app,train
SMP_train_00015,打开uc浏览器登录新浪网主页,app,train
SMP_train_00016,搜索声控安卓软件,app,train
SMP_train_00017,查找通讯录,app,train
SMP_train_00018,打开天天动听播放站你名下,app,train
SMP_train_00019,瓷我要上QQ,app,train
SMP_train_00020,搜索游戏,app,train
SMP_train_00021,搜索机锋市场,app,train
SMP_train_00022,进入设置菜单,app,train
SMP_train_00023,打开应用程序钱包,app,train
SMP_train_00024,赶集,app,train
SMP_train_00025,我想上qq了,app,train
SMP_train_00026,音乐播放器,app,train
SMP_train_00027,金山词霸,app,train
SMP_train_00028,下载飞信,app,train
SMP_train_00029,嗯打开相机,app,train
SMP_train_00030,搜狗,app,train
SMP_train_00031,打开uc浏览器,app,train
SMP_train_00032,打开qq找杨佳艺,app,train
SMP_train_00033,百度百科,app,train
SMP_train_00034,帮我打开电话本,app,train
SMP_train_00035,打开会说话的汤姆猫,app,train
SMP_train_00036,搜索京东商城,app,train
SMP_train_00037,打开酷狗并随机播放,app,train
SMP_train_00038,打开天天动听并开始播放音乐,app,train
SMP_train_00039,酷狗音乐盒,app,train
SMP_train_00040,打开手机QQ恩,app,train
SMP_train_00041,把我打开UC浏览器,app,train
SMP_train_00042,打开应用漫画,app,train
SMP_train_00043,启动qq浏览器,app,train
SMP_train_00044,打开系统软件清理,app,train
SMP_train_00045,把uc打开啊,app,train
SMP_train_00046,打开相机我想你,app,train
SMP_train_00047,开启通讯录,app,train
SMP_train_00048,有道词典,app,train
SMP_train_00049,帮我开捕鱼达人,app,train
SMP_train_00050,打开搜狐微博,app,train
SMP_train_00051,打开语音软件,app,train
SMP_train_00052,下载汉化软件,app,train
SMP_train_00053,搜索结束软件,app,train
SMP_train_00054,怎么坐车去广州？,bus,train
SMP_train_00055,从西安到石嘴山的汽车票。,bus,train
SMP_train_00056,在菏泽怎么坐去北京的车。,bus,train
SMP_train_00057,查看济南到东营的，汽车。,bus,train
SMP_train_00058,宁波到杭州的汽车,bus,train
SMP_train_00059,上海回合肥怎么坐汽车,bus,train
SMP_train_00060,宁波到岳阳的汽车。,bus,train
SMP_train_00061,从合肥到上海可以到哪坐车？,bus,train
SMP_train_00062,太原到广州的车。,bus,train
SMP_train_00063,合肥到上海可以到哪坐车？,bus,train
SMP_train_00064,长沙到怀化的汽车。,bus,train
SMP_train_00065,从温州到西安的汽车。,bus,train
SMP_train_00066,上海到合肥怎么坐汽车？,bus,train
SMP_train_00067,从中山到西安的汽车。,bus,train
SMP_train_00068,九江到景德镇的汽车。,bus,train
SMP_train_00069,从聊城到东营的车。,bus,train
SMP_train_00070,吉林到大连的车。,bus,train
SMP_train_00071,昭通到南昌的汽车。,bus,train
SMP_train_00072,查一下运城到临汾的汽车。,bus,train
SMP_train_00073,从杭州到黄山的汽车。,bus,train
SMP_train_00074,温州到上海的车。,bus,train
SMP_train_00075,上海到合肥可以到哪坐车,bus,train
SMP_train_00076,济南去聊城的汽车。,bus,train
SMP_train_00077,请查询天津市到哈尔滨的车。,bus,train
SMP_train_00078,3的平方除以2的立方的商的倒数,calc,train
SMP_train_00079,5的平方与3的3次方的和是多少,calc,train
SMP_train_00080,2的2次方,calc,train
SMP_train_00081,45的三次方,calc,train
SMP_train_00082,15加上2的平方,calc,train
SMP_train_00083,123和34的和等于多少,calc,train
SMP_train_00084,你知不知道三十四加六十五等于多少,calc,train
SMP_train_00085,3的平方除以2的立方的商减去4的平方根的立方,calc,train
SMP_train_00086,6的平方,calc,train
SMP_train_00087,4乘6乘七再除以二,calc,train
SMP_train_00088,根号3是多少,calc,train
SMP_train_00089,根号76,calc,train
SMP_train_00090,3的平方除以2的立方的商等于多少,calc,train
SMP_train_00091,125的立方根,calc,train
SMP_train_00092,4的2次方根,calc,train
SMP_train_00093,54的立方再加上35,calc,train
SMP_train_00094,123和34的差等于多少,calc,train
SMP_train_00095,帮我算一算45的平方根,calc,train
SMP_train_00096,十二与32的积是多少,calc,train
SMP_train_00097,23减去根号4,calc,train
SMP_train_00098,2平方,calc,train
SMP_train_00099,根下25,calc,train
SMP_train_00100,4的平方根,calc,train
SMP_train_00101,45与53的差是多少,calc,train
SMP_train_00102,你好慢吗！,chat,train
SMP_train_00103,你睡午觉吗,chat,train
SMP_train_00104,可是我问你啥都听不懂啊,chat,train
SMP_train_00105,库里是不是傻,chat,train
SMP_train_00106,你觉得脚踏两只船怎么样,chat,train
SMP_train_00107,哎你在干啥呢,chat,train
SMP_train_00108,怎么分担,chat,train
SMP_train_00109,长了什么?,chat,train
SMP_train_00110,能想起我吗,chat,train
SMP_train_00111,卖啥呀,chat,train
SMP_train_00112,你会骂人么,chat,train
SMP_train_00113,你最近干嘛呢,chat,train
SMP_train_00114,对啊我也这么觉得,chat,train
SMP_train_00115,有什么钱,chat,train
SMP_train_00116,你不开心会做什么,chat,train
SMP_train_00117,你认识吗,chat,train
SMP_train_00118,哪年呀,chat,train
SMP_train_00119,怎么对,chat,train
SMP_train_00120,你还能做什么,chat,train
SMP_train_00121,你不是猪吗,chat,train
SMP_train_00122,你喜欢喝什么茶呀,chat,train
