ticket_id,text,true_label,predictions,confidence
SMP_test_00006,帮我搜索三国杀,app,video,0.999
SMP_test_00007,打开极品飞车,app,video,0.9477
SMP_test_00008,公交查询,app,tvchannel,0.557
SMP_test_00073,发照片，看看你长什么样,chat,message,0.722
SMP_test_00080,大家都说我瘦怎么办呀,chat,health,0.9726
SMP_test_00089,电影钢铁侠并论。,cinemas,video,0.9989
SMP_test_00099,打开联系人,contacts,app,0.9797
SMP_test_00122,你如何做螃蟹？,cookbook,chat,0.6431
SMP_test_00131,热狗了。,cookbook,schedule,0.6947
SMP_test_00168,有什么下酒菜吗,cookbook,chat,0.9995
SMP_test_00208,打狗棍播出时间表,epg,video,0.9781
SMP_test_00213,爸爸去哪几点结束呀,epg,chat,0.994
SMP_test_00227,最近下午有什么电影？,epg,video,0.9989
SMP_test_00241,2012年的恐怖电影,epg,video,0.9991
SMP_test_00364,你可以帮我点歌吗,music,chat,0.9996
SMP_test_00431,我好想听新城知讯台,radio,tvchannel,0.6019
SMP_test_00447,什么地方开会,schedule,chat,0.9995
SMP_test_00464,吉林敖东,stock,tvchannel,0.9955
SMP_test_00468,国祥,stock,video,0.999
SMP_test_00565,很想看安徽卫视来着,tvchannel,epg,0.9978
SMP_test_00569,播放落日批示,video,music,0.9124
SMP_test_00573,一路向西,video,map,0.9965
SMP_test_00591,最新有什么热门电影,video,cinemas,0.9939
SMP_test_00593,最近有什么热播的电视剧。,video,epg,0.8938
SMP_test_00594,熊出没啊,video,chat,0.9309
SMP_test_00605,我要看综艺,video,tvchannel,0.5824
SMP_test_00617,有没有九十年代热门的动漫,video,epg,0.9825
SMP_test_00621,2012年美国公告牌音乐大奖颁奖礼,video,tvchannel,0.4492
SMP_test_00633,广州明天天气好吗,weather,chat,0.9993
SMP_test_00652,魔神战记,website,video,0.9989
SMP_test_00660,打开九幺五八聊天,website,app,0.9757
SMP_test_00667,打开谷歌wap,website,app,0.9974
